 time, var_acx, var_acy, var_acz, pitch, var_roll, vra_yaw 
 14.050000, 0.000003, 0.000002, 0.000007, 0.000030, 0.000043, 0.000024 
 14.100000, 0.000002, 0.000003, 0.000008, 0.000030, 0.000043, 0.000025 
 14.150000, 0.000003, 0.000003, 0.000008, 0.000029, 0.000065, 0.000022 
 14.200000, 0.000004, 0.000002, 0.000008, 0.000029, 0.000065, 0.000024 
 14.250000, 0.000004, 0.000002, 0.000007, 0.000052, 0.000099, 0.000023 
 14.300000, 0.000011, 0.000010, 0.000011, 0.000101, 0.000142, 0.000027 
 14.350000, 0.000219, 0.000010, 0.000011, 0.000240, 0.000244, 0.000054 
 14.400000, 0.000250, 0.000014, 0.000011, 0.000239, 0.000252, 0.000126 
 14.450000, 0.001177, 0.000015, 0.000011, 0.000246, 0.000281, 0.002541 
 14.500000, 0.001699, 0.000038, 0.000040, 0.000275, 0.000286, 0.003748 
 14.550000, 0.002779, 0.000038, 0.000042, 0.000319, 0.000335, 0.003815 
 14.600000, 0.002819, 0.000046, 0.000041, 0.000318, 0.000625, 0.003784 
 14.650000, 0.002732, 0.000162, 0.000044, 0.000375, 0.000602, 0.003927 
 14.700000, 0.002644, 0.000368, 0.000044, 0.000493, 0.000685, 0.007743 
 14.750000, 0.002546, 0.000548, 0.000044, 0.000660, 0.001180, 0.008539 
 14.800000, 0.002459, 0.000553, 0.000043, 0.000661, 0.001936, 0.009531 
 14.850000, 0.002486, 0.000581, 0.000043, 0.000693, 0.002268, 0.011158 
 14.900000, 0.002419, 0.000580, 0.000044, 0.000722, 0.002429, 0.011338 
 14.950000, 0.002711, 0.000576, 0.000044, 0.000776, 0.004085, 0.012714 
 15.000000, 0.002608, 0.000579, 0.000043, 0.000825, 0.004593, 0.012928 
 15.050000, 0.002833, 0.000585, 0.000042, 0.000759, 0.005508, 0.013165 
 15.100000, 0.002827, 0.000595, 0.000041, 0.000653, 0.007495, 0.013728 
 15.150000, 0.003015, 0.000685, 0.000039, 0.000628, 0.009071, 0.013734 
 15.200000, 0.002506, 0.000695, 0.000039, 0.000656, 0.009043, 0.010239 
 15.250000, 0.002134, 0.000657, 0.000012, 0.000674, 0.009175, 0.007173 
 15.300000, 0.001109, 0.000756, 0.000006, 0.000699, 0.009208, 0.006260 
 15.350000, 0.000919, 0.000727, 0.000006, 0.000702, 0.009576, 0.005882 
 15.400000, 0.000948, 0.000507, 0.000005, 0.000700, 0.010105, 0.006384 
 15.450000, 0.000957, 0.000478, 0.000005, 0.000644, 0.011840, 0.007230 
 15.500000, 0.001557, 0.000346, 0.000007, 0.000513, 0.012001, 0.007063 
 15.550000, 0.001637, 0.000355, 0.000007, 0.000516, 0.011096, 0.006624 
 15.600000, 0.001725, 0.000334, 0.000007, 0.000494, 0.010286, 0.005399 
 15.650000, 0.001727, 0.000334, 0.000005, 0.000533, 0.009771, 0.005351 
 15.700000, 0.001692, 0.000338, 0.000006, 0.000439, 0.008878, 0.003827 
 15.750000, 0.001233, 0.000330, 0.000006, 0.000405, 0.007832, 0.003704 
 15.800000, 0.001573, 0.000394, 0.000006, 0.000401, 0.007570, 0.003180 
 15.850000, 0.001535, 0.000484, 0.000005, 0.000294, 0.005892, 0.004155 
 15.900000, 0.001616, 0.000408, 0.000006, 0.000325, 0.003949, 0.004154 
 15.950000, 0.001555, 0.000398, 0.000007, 0.000318, 0.003955, 0.003462 
 16.000000, 0.001370, 0.000401, 0.000011, 0.000307, 0.003543, 0.003268 
 16.050000, 0.003687, 0.000967, 0.000011, 0.000293, 0.004118, 0.003885 
 16.100000, 0.003719, 0.000968, 0.000011, 0.000262, 0.003004, 0.003870 
 16.150000, 0.003721, 0.000964, 0.000011, 0.000219, 0.002888, 0.003828 
 16.200000, 0.003663, 0.000917, 0.000014, 0.000229, 0.001644, 0.002509 
 16.250000, 0.003240, 0.000923, 0.000014, 0.000217, 0.001252, 0.002513 
